"Name","Arm","Week12 N","Week12 fold change (log2, Mean [SE])","Week24 N","Week24 fold change (log2, Mean [SE]) ","KW Test P value","Week12 vs Week0 Dunn's Test P value","Week24 vs Week0 Dunn's Test P value"
"L-Lactic acid [MS]","PB",112,"0.14 (0.05)",92,"0.21 (0.06)",0.0227195673893562,0.175578523011782,0.00594500984167077
"L-Lactic acid [MS]","SP",149,"-0.01 (0.05)",147,"-0.03 (0.05)",0.918673080448264,0.940543497854961,0.753697716255604
"L-Leucine [MS]","CG32",223,"-0.07 (0.02)",216,"-0.03 (0.02)",0.0891313445062222,0.0279373043678069,0.263936158066634
"L-Leucine [MS]","CG48",233,"-0.07 (0.02)",214,"-0.11 (0.04)",0.0191646058286166,0.0112211384657689,0.0212330476648103
"L-Leucine [MS]","PB",112,"0.01 (0.03)",92,"0 (0.03)",0.90410912713064,0.902984745726447,0.661460491641882
"L-Leucine [MS]","SP",149,"-0.01 (0.02)",147,"0.01 (0.02)",0.982358256361595,0.972511760472985,0.858771198173716
"L-Lysine [MS]","CG32",223,"-0.04 (0.02)",216,"0 (0.02)",0.402202555322703,0.206903327415332,0.84599581445569
"L-Lysine [MS]","CG48",233,"0 (0.02)",214,"-0.01 (0.02)",0.964268032924256,0.787385895602626,0.898535774083738
"L-Lysine [MS]","PB",112,"0 (0.03)",92,"-0.03 (0.03)",0.557352962638713,0.913202471284522,0.371801517470521
"L-Lysine [MS]","SP",149,"-0.06 (0.03)",147,"-0.04 (0.02)",0.910254259630046,0.857040835684418,0.665932889389193
"L-Malic acid","CG32",223,"-0.05 (0.03)",216,"-0.02 (0.03)",0.541810125513144,0.360847805909638,0.322215700713772
"L-Malic acid","CG48",233,"-0.02 (0.03)",214,"0.03 (0.03)",0.881299256103071,0.645104074695142,0.959822920775397
"L-Malic acid","PB",112,"-0.05 (0.04)",92,"0.07 (0.05)",0.222390156461613,0.454952018174384,0.30869889070841
"L-Malic acid","SP",149,"-0.14 (0.04)",147,"-0.07 (0.04)",0.164192534069614,0.0597610087046941,0.242792525301281
"L-Methionine","CG32",223,"0.09 (0.02)",216,"0.12 (0.02)",0.000291237872565993,0.00686363973744743,8.45473278471274e-05
"L-Methionine","CG48",233,"0.17 (0.02)",214,"0.17 (0.02)",3.47600424846429e-11,4.70124952034114e-10,1.04904646412035e-08
"L-Methionine","PB",112,"0.03 (0.03)",92,"0.01 (0.03)",0.435414448686246,0.201360005354994,0.445208784689794
"L-Methionine","SP",149,"0.03 (0.03)",147,"0.03 (0.03)",0.279162213596318,0.116662076949475,0.296654216928684
"L-Pipecolic acid","CG32",223,"0.03 (0.04)",216,"0.01 (0.05)",0.980675889917691,0.961086346716085,0.885721338352762
"L-Pipecolic acid","CG48",233,"-0.02 (0.05)",214,"0.03 (0.04)",0.850498189999553,0.989672148677286,0.624532363884969
"L-Pipecolic acid","PB",112,"-0.06 (0.05)",92,"-0.06 (0.05)",0.566755247951618,0.299476119281948,0.47824248146003
"L-Pipecolic acid","SP",149,"-0.14 (0.06)",147,"-0.11 (0.05)",0.335724625341199,0.172176597987193,0.241628962001963
"L-Proline","CG32",223,"-0.04 (0.03)",216,"0 (0.03)",0.757762414027774,0.497225101309733,0.550283415451738
"L-Proline","CG48",233,"-0.04 (0.02)",214,"-0.01 (0.03)",0.58373197018495,0.313143567739745,0.777433729629539
"L-Proline","PB",112,"0.02 (0.04)",92,"0.03 (0.05)",0.89701403454615,0.799755620401318,0.823880613367728
"L-Proline","SP",149,"-0.02 (0.03)",147,"-0.04 (0.03)",0.728944782221704,0.986775797687171,0.496122622380554
"L-Serine","CG32",223,"0.07 (0.02)",216,"0.05 (0.02)",0.0409336564579734,0.0123661793042455,0.125089875090158
"L-Serine","CG48",233,"0.09 (0.02)",214,"0.09 (0.02)",0.000645255636870728,0.00052762526782913,0.00177210719495244
"L-Serine","PB",112,"-0.05 (0.02)",92,"-0.04 (0.03)",0.38684093800911,0.250586221301238,0.223422427913876
"L-Serine","SP",149,"-0.02 (0.03)",147,"-0.07 (0.02)",0.384374195467189,0.888649112094715,0.26178004521475
"L-Threonine","CG32",223,"0.16 (0.03)",216,"0.17 (0.03)",5.74645021080898e-07,3.0830749356443e-06,4.81360983031861e-06
"L-Threonine","CG48",233,"0.23 (0.02)",214,"0.23 (0.02)",3.55207660654782e-14,1.77800229813612e-11,6.7436530999373e-12
"L-Threonine","PB",112,"0.01 (0.03)",92,"0.02 (0.04)",0.839102305550178,0.953256629345702,0.58516549544127
"L-Threonine","SP",149,"0.01 (0.03)",147,"-0.02 (0.03)",0.698552042330388,0.40454029925679,0.775243430061247
"L-Tryptophan","CG32",223,"0.01 (0.02)",216,"0.01 (0.02)",0.953825985137319,0.887932618862549,0.758581616201257
"L-Tryptophan","CG48",233,"0.01 (0.02)",214,"-0.02 (0.02)",0.843351372182799,0.674613734647549,0.882753578566063
"L-Tryptophan","PB",112,"0.02 (0.03)",92,"-0.03 (0.03)",0.466752942607472,0.285016090444844,0.974720102016072
"L-Tryptophan","SP",149,"0.02 (0.03)",147,"0.01 (0.03)",0.655735121312283,0.367509738756473,0.767996567009298
"L-Tyrosine [MS]","CG32",223,"0 (0.02)",216,"0 (0.02)",0.977282095582594,0.832313344379677,0.894909827486259
"L-Tyrosine [MS]","CG48",233,"0.01 (0.02)",214,"0.01 (0.02)",0.942664072570125,0.781392100204023,0.754468646993353
"L-Tyrosine [MS]","PB",112,"0.02 (0.03)",92,"0.01 (0.03)",0.616745452063374,0.327108697524828,0.590822784515571
"L-Tyrosine [MS]","SP",149,"0.02 (0.02)",147,"-0.01 (0.02)",0.400851348889295,0.198036061748168,0.776679705465183
"L-Valine [MS]","CG32",223,"-0.05 (0.02)",216,"-0.01 (0.02)",0.203447169635363,0.0766901114936398,0.508380852765049
"L-Valine [MS]","CG48",233,"-0.06 (0.02)",214,"-0.07 (0.02)",0.0542998410078749,0.0372465188126977,0.0371063791811199
"L-Valine [MS]","PB",112,"0.01 (0.02)",92,"-0.01 (0.03)",0.949864269132975,0.868738436295135,0.870838174009339
"L-Valine [MS]","SP",149,"-0.03 (0.02)",147,"-0.05 (0.02)",0.32364860028204,0.490994350463215,0.133497236209035
"L-Acetylcarnitine","CG32",223,"0 (0.03)",216,"0.04 (0.03)",0.797260508444616,0.724419922819732,0.741104024791054
"L-Acetylcarnitine","CG48",233,"-0.03 (0.03)",214,"0.06 (0.03)",0.368981521918206,0.796052489163681,0.278831754290644
"L-Acetylcarnitine","PB",112,"-0.07 (0.04)",92,"-0.06 (0.04)",0.329532116165867,0.136465485493466,0.448717002362587
"L-Acetylcarnitine","SP",149,"-0.03 (0.04)",147,"0.03 (0.03)",0.727465432444685,0.738622800097493,0.42694783077222
"Linoelaidic acid","CG32",223,"-0.18 (0.05)",216,"-0.2 (0.05)",0.000700805326452143,0.000302374097035415,0.00489978536867076
"Linoelaidic acid","CG48",233,"-0.24 (0.04)",214,"-0.17 (0.04)",0.000131246048563156,7.87536357736113e-05,0.00113339527847361
"Linoelaidic acid","PB",112,"-0.08 (0.06)",92,"0.03 (0.06)",0.56641597798773,0.408087731366474,0.84464604638008
"Linoelaidic acid","SP",149,"-0.18 (0.06)",147,"-0.1 (0.05)",0.149535787576376,0.0817196531657566,0.103239261627797
"Linoleic acid","CG32",223,"-0.18 (0.05)",216,"-0.2 (0.05)",0.000746528570268128,0.000330112297071987,0.00486159264049502
"Linoleic acid","CG48",233,"-0.24 (0.04)",214,"-0.17 (0.04)",0.000129167831391822,7.62370581186067e-05,0.00115233353499252
"Linoleic acid","PB",112,"-0.08 (0.06)",92,"0.03 (0.06)",0.574457881630775,0.415413968048757,0.843474586956657
"Linoleic acid","SP",149,"-0.18 (0.06)",147,"-0.1 (0.05)",0.150813294613908,0.0811856864484261,0.105857757922485
"Linoleylcarnitine","CG32",223,"0.02 (0.04)",216,"0.02 (0.04)",0.927218004082626,0.735271557455749,0.740036950091007
"Linoleylcarnitine","CG48",233,"-0.03 (0.04)",214,"0.03 (0.04)",0.81591459565795,0.944937812508664,0.557559778164221
"Linoleylcarnitine","PB",112,"-0.05 (0.05)",92,"0.07 (0.06)",0.477888511032907,0.868792988243512,0.32762997512323
"Linoleylcarnitine","SP",149,"-0.07 (0.05)",147,"-0.06 (0.05)",0.818518365390548,0.639457613746317,0.546804787788946
"Maltotriose","CG32",223,"-0.08 (0.14)",216,"-0.17 (0.16)",0.482613108636133,0.791631918323569,0.246824584607077
"Maltotriose","CG48",233,"-0.03 (0.13)",214,"0.05 (0.15)",0.702386635275865,0.608584302004839,0.405377182997282
"Maltotriose","PB",112,"-0.29 (0.24)",92,"0.4 (0.3)",0.480048204543872,0.753402371499114,0.379945624944111
"Maltotriose","SP",149,"-0.22 (0.13)",147,"-0.17 (0.14)",0.954929107400475,0.937585521242261,0.769254204052886
"Methylcysteine","CG32",223,"0 (0.06)",216,"0.02 (0.06)",0.931838435535103,0.765650842758998,0.955780390570969
"Methylcysteine","CG48",233,"-0.03 (0.06)",214,"-0.02 (0.06)",0.890055171779954,0.740749192465312,0.885577622876581
"Methylcysteine","PB",112,"0.01 (0.09)",92,"0 (0.1)",0.674605110197974,0.976012739303807,0.444416402828849
"Methylcysteine","SP",149,"-0.16 (0.07)",147,"-0.12 (0.08)",0.268685464178987,0.229658265105944,0.122815931474744
"Methylglutaric acid","CG32",223,"-0.02 (0.07)",216,"-0.06 (0.06)",0.543993241589518,0.660629863269143,0.501442609928504
"Methylglutaric acid","CG48",233,"0.02 (0.06)",214,"0.03 (0.07)",0.618848993711454,0.829677028865465,0.348036873515868
"Methylglutaric acid","PB",112,"-0.04 (0.09)",92,"-0.15 (0.13)",0.873578225084712,0.835092806473402,0.604457636007924
"Methylglutaric acid","SP",149,"-0.02 (0.11)",147,"0.02 (0.09)",0.989244285570048,0.960689444812646,0.884975273392675
"Methylmalonic acid","CG32",223,"-0.01 (0.02)",216,"-0.02 (0.02)",0.746666838943351,0.815625386139785,0.453460528279036
"Methylmalonic acid","CG48",233,"0.01 (0.02)",214,"0.04 (0.03)",0.649496234979027,0.7084522915008,0.355205459785627
"Methylmalonic acid","PB",112,"0 (0.04)",92,"0.02 (0.04)",0.779691016517788,0.953432288334946,0.555303499916905
"Methylmalonic acid","SP",149,"-0.05 (0.04)",147,"-0.02 (0.04)",0.949926799518388,0.805002751851585,0.957011086073532
"Methylmalonylcarnitine","CG32",223,"-0.01 (0.05)",216,"0.03 (0.05)",0.77656982967925,0.86054844549971,0.491574624911413
"Methylmalonylcarnitine","CG48",233,"-0.03 (0.05)",214,"0 (0.04)",0.929966047400786,0.816320173063512,0.881314161529267
"Methylmalonylcarnitine","PB",112,"-0.06 (0.06)",92,"-0.05 (0.05)",0.874733206292863,0.865763816876197,0.727171135658949
"Methylmalonylcarnitine","SP",149,"-0.01 (0.05)",147,"-0.02 (0.06)",0.825217612590429,0.592515874241272,0.996965022289952
"Murocholic acid","CG32",223,"-0.59 (0.12)",216,"-0.54 (0.12)",0.000446041619084723,0.000558622494623605,0.000916048986973146
"Murocholic acid","CG48",233,"-0.56 (0.12)",214,"-0.68 (0.13)",0.000699997444010703,0.000586943757471138,0.00180032501602863
"Murocholic acid","PB",112,"-0.24 (0.16)",92,"-0.28 (0.19)",0.28960454715769,0.132210381395714,0.261191830126845
"Murocholic acid","SP",149,"0.2 (0.18)",147,"0.18 (0.18)",0.576063508074061,0.299410148225887,0.705735680580422
"Myristelaidic acid","CG32",223,"-0.1 (0.07)",216,"-0.17 (0.08)",0.133491487499695,0.0736796328752892,0.0961895391401254
"Myristelaidic acid","CG48",233,"-0.13 (0.06)",214,"-0.04 (0.07)",0.118728445709115,0.0390468039085124,0.334750291703883
"Myristelaidic acid","PB",112,"-0.08 (0.08)",92,"-0.03 (0.09)",0.607545967138927,0.421502276929701,0.365970376746567
"Myristelaidic acid","SP",149,"-0.3 (0.1)",147,"-0.21 (0.08)",0.0243847184442468,0.0289977609641533,0.012309781037331
"Myristic acid","CG32",223,"-0.13 (0.05)",216,"-0.14 (0.07)",0.0527240634278245,0.0157542395656332,0.16850167028035
"Myristic acid","CG48",233,"-0.15 (0.05)",214,"-0.13 (0.05)",0.0510588917313332,0.0328486538004688,0.0378611611520342
"Myristic acid","PB",112,"0.03 (0.08)",92,"0.1 (0.09)",0.40610040338898,0.772437430722462,0.197071873968329
"Myristic acid","SP",149,"-0.16 (0.08)",147,"0.02 (0.07)",0.590919592819303,0.430593067304052,0.860782823426095
"Myristoleic acid","CG32",223,"0.06 (0.06)",216,"0.14 (0.07)",0.0769867491576739,0.338815449384003,0.0238871284129657
"Myristoleic acid","CG48",233,"0.06 (0.05)",214,"0.25 (0.06)",0.0205497854183507,0.455838190021046,0.0068040439312338
"Myristoleic acid","PB",112,"-0.04 (0.07)",92,"0.02 (0.08)",0.628201736478534,0.858192226018286,0.454942222265988
"Myristoleic acid","SP",149,"-0.25 (0.09)",147,"-0.13 (0.07)",0.343152863948756,0.159781126153967,0.293061045293412
"Myristoylcarnitine","CG32",223,"-0.06 (0.04)",216,"0.03 (0.05)",0.614301593822208,0.406830850050406,0.94769766144672
"Myristoylcarnitine","CG48",233,"-0.08 (0.04)",214,"0.03 (0.03)",0.40159073600767,0.27534267833334,0.873563484137592
"Myristoylcarnitine","PB",112,"-0.11 (0.08)",92,"-0.04 (0.08)",0.233414346228853,0.108681532960985,0.797700489907941
"Myristoylcarnitine","SP",149,"-0.02 (0.04)",147,"0.02 (0.04)",0.894543287373868,0.779456378694919,0.84964904885848
"N-Acetyl-L-aspartic acid","CG32",223,"0.1 (0.04)",216,"0.1 (0.04)",0.00651746618747955,0.0154425873822871,0.003004314553871
"N-Acetyl-L-aspartic acid","CG48",233,"0.14 (0.04)",214,"0.17 (0.03)",0.000769483490794085,0.00501625860688579,0.000327728607696426
"N-Acetyl-L-aspartic acid","PB",112,"0.05 (0.06)",92,"0.09 (0.06)",0.631536016156998,0.85409736488139,0.360433202261582
"N-Acetyl-L-aspartic acid","SP",149,"-0.04 (0.04)",147,"-0.01 (0.05)",0.929956385212286,0.928057351476447,0.782740258560208
"N-Acetylneuraminic acid","CG32",223,"-0.02 (0.05)",216,"0.04 (0.04)",0.922091145810666,0.784713602541709,0.899527899815625
"N-Acetylneuraminic acid","CG48",233,"-0.07 (0.05)",214,"0.01 (0.05)",0.206857191865882,0.478161673220888,0.2845273373505
"N-Acetylneuraminic acid","PB",112,"-0.07 (0.05)",92,"-0.02 (0.06)",0.783922865111316,0.546671973365325,0.983234047328674
"N-Acetylneuraminic acid","SP",149,"-0.01 (0.05)",147,"-0.01 (0.05)",0.615203973048157,0.393808036280338,0.997802576293302
"N-Acetylserine","CG32",223,"-0.04 (0.03)",216,"-0.03 (0.03)",0.520393774727834,0.328206308275949,0.321218407824842
"N-Acetylserine","CG48",233,"0.01 (0.03)",214,"0.01 (0.03)",0.797228852333539,0.649938122625313,0.511864448369977
"N-Acetylserine","PB",112,"-0.08 (0.04)",92,"-0.06 (0.05)",0.42890198760403,0.195374078236399,0.613051394623963
"N-Acetylserine","SP",149,"0.05 (0.04)",147,"0.03 (0.04)",0.598859443542768,0.338798142690616,0.443975293754609
"N-Methylnicotinamide","CG32",223,"-0.09 (0.1)",216,"0.03 (0.09)",0.906847981499429,0.792175473709375,0.661102899406941
"N-Methylnicotinamide","CG48",233,"-0.16 (0.09)",214,"0.03 (0.09)",0.501529847874104,0.49255063250948,0.621105291585692
"N-Methylnicotinamide","PB",112,"-0.08 (0.12)",92,"-0.03 (0.12)",0.99418565397166,0.91400713708182,0.95979780918505
"N-Methylnicotinamide","SP",149,"-0.06 (0.11)",147,"-0.06 (0.11)",0.869138799040056,0.660176566179819,0.634544509731968
"Octanoic acid","CG32",223,"-0.06 (0.03)",216,"-0.03 (0.03)",0.45198962070035,0.221914867387326,0.387650462305238
"Octanoic acid","CG48",233,"-0.11 (0.03)",214,"-0.1 (0.03)",0.00739465157398815,0.00924850279322868,0.00517273503988613
"Octanoic acid","PB",112,"-0.03 (0.04)",92,"-0.03 (0.04)",0.733626685245073,0.888196491698408,0.454727357665139
"Octanoic acid","SP",149,"-0.1 (0.04)",147,"-0.07 (0.04)",0.226215304050724,0.100274129477053,0.203449778346696
"Octanoylcarnitine","CG32",223,"-0.12 (0.07)",216,"-0.02 (0.08)",0.299038643230813,0.229294736960727,0.781347484517456
"Octanoylcarnitine","CG48",233,"-0.07 (0.06)",214,"0.15 (0.06)",0.0882890136239647,0.776799063765123,0.077578750859755
"Octanoylcarnitine","PB",112,"-0.15 (0.08)",92,"-0.02 (0.08)",0.460450390295999,0.276068467976643,0.29336034588882
"Octanoylcarnitine","SP",149,"-0.16 (0.09)",147,"0.02 (0.08)",0.373533803060647,0.187165876605032,0.807911798332779
"Oleic acid","CG32",223,"-0.18 (0.05)",216,"-0.19 (0.05)",0.0011225013196127,0.00244408140341816,0.000950285011219307
"Oleic acid","CG48",233,"-0.19 (0.04)",214,"-0.12 (0.04)",0.00223431079229675,0.000706856933605056,0.0159835583763426
"Oleic acid","PB",112,"-0.1 (0.06)",92,"0.02 (0.07)",0.210127648695448,0.139197153642228,0.886614466396818
"Oleic acid","SP",149,"-0.19 (0.07)",147,"-0.11 (0.06)",0.216753852012264,0.125663685186552,0.134661215938968
"Oleylcarnitine C18 1","CG32",223,"-0.07 (0.03)",216,"-0.05 (0.03)",0.342329418088629,0.248928370854767,0.177460903146993
"Oleylcarnitine C18 1","CG48",233,"-0.05 (0.03)",214,"0.04 (0.03)",0.394517182122356,0.40897029017204,0.588573276803732
"Oleylcarnitine C18 1","PB",112,"-0.12 (0.05)",92,"-0.01 (0.06)",0.215273772278902,0.114408894816095,0.932189805876272
"Oleylcarnitine C18 1","SP",149,"-0.09 (0.04)",147,"-0.07 (0.05)",0.258392599612474,0.195916451138769,0.126841793642819
"Ornithine","CG32",223,"0.1 (0.04)",216,"0.13 (0.04)",0.0504710564298352,0.0347239072064754,0.0356941707644046
"Ornithine","CG48",233,"0.13 (0.04)",214,"0.17 (0.04)",0.00833528474400577,0.0121631194021778,0.00495401534064632
"Ornithine","PB",112,"-0.03 (0.05)",92,"0.01 (0.06)",0.885976524887872,0.721800332659633,0.897851231602746
"Ornithine","SP",149,"-0.03 (0.04)",147,"0 (0.04)",0.974630205688983,0.923206250040874,0.821268205316087
"Oxalic acid","CG32",223,"-0.03 (0.05)",216,"0.08 (0.06)",0.530713597210364,0.784490803988231,0.411011678550726
"Oxalic acid","CG48",233,"0 (0.06)",214,"-0.06 (0.07)",0.755343221167491,0.460997323383398,0.632971289712004
"Oxalic acid","PB",112,"0.01 (0.05)",92,"0.03 (0.08)",0.553673030570418,0.518456168266505,0.281465912658203
"Oxalic acid","SP",149,"-0.03 (0.07)",147,"-0.01 (0.06)",0.896776321119864,0.714073208328807,0.94600299955147
"Oxoglutaric acid","CG32",223,"-0.09 (0.03)",216,"-0.07 (0.03)",0.119781539253581,0.0631147156803451,0.0931292032273742
"Oxoglutaric acid","CG48",233,"-0.16 (0.04)",214,"-0.17 (0.03)",0.00142752512774047,0.00236128263046863,0.00135871725861713
"Oxoglutaric acid","PB",112,"0 (0.05)",92,"0.08 (0.05)",0.258662100504032,0.938164365086064,0.138786011438026
"Oxoglutaric acid","SP",149,"-0.01 (0.05)",147,"-0.07 (0.05)",0.656379081745577,0.494019253948983,0.383477111475809
"Palmitoleic acid","CG32",223,"-0.13 (0.06)",216,"-0.08 (0.07)",0.300881971779466,0.121490279768045,0.419607528045046
"Palmitoleic acid","CG48",233,"-0.14 (0.06)",214,"0.07 (0.06)",0.222890286070704,0.167852394500056,0.81229313876524
"Palmitoleic acid","PB",112,"-0.16 (0.08)",92,"-0.07 (0.09)",0.280276498771136,0.128333244818491,0.761460914072207
"Palmitoleic acid","SP",149,"-0.23 (0.09)",147,"-0.14 (0.08)",0.32551529306698,0.160429914435231,0.248230842730963
"Palmitoylcarnitine","CG32",223,"-0.05 (0.04)",216,"-0.05 (0.04)",0.408749101343342,0.357907700038734,0.195090374436176
"Palmitoylcarnitine","CG48",233,"-0.05 (0.03)",214,"-0.01 (0.03)",0.654951012035554,0.413604859236574,0.973330808654282
"Palmitoylcarnitine","PB",112,"-0.09 (0.06)",92,"-0.06 (0.07)",0.401267638351057,0.177342504418604,0.474587565654908
"Palmitoylcarnitine","SP",149,"-0.06 (0.05)",147,"-0.02 (0.04)",0.395221328507603,0.291171335587159,0.202834480943909
"Phenylacetic acid","CG32",223,"0.02 (0.1)",216,"0.04 (0.09)",0.948638581911695,0.914459399309291,0.748901491257911
"Phenylacetic acid","CG48",233,"-0.07 (0.1)",214,"-0.03 (0.12)",0.730489675543654,0.458097718485568,0.903436655662879
"Phenylacetic acid","PB",112,"0 (0.14)",92,"-0.05 (0.16)",0.869527376721979,0.943416071746575,0.62110729017012
"Phenylacetic acid","SP",149,"-0.09 (0.12)",147,"-0.03 (0.11)",0.97205509904168,0.961732344550218,0.858628516182104
"Phenyllactic acid","CG32",223,"-0.02 (0.05)",216,"0.01 (0.06)",0.786764706549583,0.788151297612953,0.668806977847563
"Phenyllactic acid","CG48",233,"0.05 (0.05)",214,"-0.15 (0.07)",0.156286427110319,0.484269734286884,0.221977831015883
"Phenyllactic acid","PB",112,"0.02 (0.07)",92,"-0.08 (0.08)",0.572573590648594,0.396577977833954,0.881999170909567
"Phenyllactic acid","SP",149,"0.15 (0.08)",147,"0.11 (0.08)",0.368455549453359,0.15784644074385,0.456253549521595
"Phenylpyruvic acid","CG32",223,"0.03 (0.05)",216,"-0.01 (0.05)",0.566573362841215,0.28790587502118,0.65782586057575
"Phenylpyruvic acid","CG48",233,"0.03 (0.04)",214,"-0.01 (0.03)",0.162459522376147,0.121381113980574,0.834726585616981
"Phenylpyruvic acid","PB",112,"0.02 (0.03)",92,"0 (0.04)",0.712346061481317,0.615550542523908,0.415985555872392
"Phenylpyruvic acid","SP",149,"0.02 (0.08)",147,"-0.04 (0.08)",0.605677119597123,0.33003039868664,0.491673556835386
"Propionylcarnitine","CG32",223,"0.08 (0.03)",216,"0.13 (0.04)",0.0902456216381483,0.120803227840104,0.0350009736137917
"Propionylcarnitine","CG48",233,"0.06 (0.04)",214,"0.11 (0.03)",0.272366484043983,0.31130852859869,0.111684516088255
"Propionylcarnitine","PB",112,"0.03 (0.04)",92,"0.06 (0.05)",0.932391292208782,0.801839943730222,0.71609290650975
"Propionylcarnitine","SP",149,"0.06 (0.05)",147,"0.1 (0.05)",0.217905525568571,0.244004144971321,0.0876300257294197
"Pyroglutamic acid","CG32",223,"-0.15 (0.02)",216,"-0.17 (0.03)",3.57812864871548e-05,0.000759572713588977,1.89418155170431e-05
"Pyroglutamic acid","CG48",233,"-0.2 (0.03)",214,"-0.24 (0.03)",3.99699808856679e-07,4.01291912611548e-06,1.95419114396361e-06
"Pyroglutamic acid","PB",112,"-0.02 (0.04)",92,"0.01 (0.04)",0.853199512018347,0.922603899332247,0.593293795661347
"Pyroglutamic acid","SP",149,"-0.07 (0.03)",147,"-0.11 (0.04)",0.55538429776689,0.428555082817779,0.299514407619127
"Pyruvic acid [MS]","CG32",223,"-0.03 (0.04)",216,"0.01 (0.05)",0.830623207619957,0.59012783380969,0.60989670778361
"Pyruvic acid [MS]","CG48",233,"-0.06 (0.05)",214,"-0.05 (0.05)",0.274105592253285,0.161694056728911,0.168132488127239
"Pyruvic acid [MS]","PB",112,"0.11 (0.06)",92,"0.19 (0.07)",0.0315665608367885,0.215810714325071,0.00856713997587723
"Pyruvic acid [MS]","SP",149,"0.03 (0.05)",147,"0.06 (0.06)",0.587847346976449,0.719286682253966,0.30936335911391
"Sarcosine","CG32",223,"-0.09 (0.05)",216,"-0.1 (0.06)",0.337851099638942,0.150289741295948,0.329162370701253
"Sarcosine","CG48",233,"-0.04 (0.06)",214,"-0.08 (0.06)",0.584590946213715,0.849745377354061,0.326759940706636
"Sarcosine","PB",112,"-0.22 (0.08)",92,"-0.24 (0.1)",0.304020740620276,0.193847930152451,0.176381782219761
"Sarcosine","SP",149,"0.01 (0.08)",147,"-0.07 (0.07)",0.474769909450999,0.651982282612603,0.22707406472421
"Stearylcarnitine","CG32",223,"0.06 (0.05)",216,"0.09 (0.06)",0.513377633091828,0.496075966920776,0.251825786522863
"Stearylcarnitine","CG48",233,"0 (0.07)",214,"0.07 (0.07)",0.581091376343168,0.789979696935921,0.313227722868095
"Stearylcarnitine","PB",112,"-0.2 (0.07)",92,"-0.03 (0.06)",0.0615784742402838,0.0431325832522499,0.916571625111642
"Stearylcarnitine","SP",149,"-0.07 (0.05)",147,"-0.01 (0.06)",0.824882774014645,0.581399727200867,0.977241484316663
"Succinic acid","CG32",223,"-0.01 (0.03)",216,"0 (0.03)",0.939937466381069,0.861982308088687,0.724873062820217
"Succinic acid","CG48",233,"0.03 (0.03)",214,"0.06 (0.03)",0.349102715437725,0.414209496340372,0.148306091451549
"Succinic acid","PB",112,"0.01 (0.04)",92,"0.04 (0.04)",0.53225552280016,0.671779542279478,0.264359050213726
"Succinic acid","SP",149,"-0.04 (0.04)",147,"-0.03 (0.04)",0.967416339253484,0.803652741253534,0.947082027268256
"Tartaric acid","CG32",223,"-0.24 (0.12)",216,"-0.19 (0.12)",0.0968447973327699,0.0487091483114382,0.0835330412721915
"Tartaric acid","CG48",233,"-0.25 (0.11)",214,"-0.37 (0.13)",0.00657225796576153,0.0609921570285367,0.00164671398240275
"Tartaric acid","PB",112,"-0.26 (0.17)",92,"-0.19 (0.17)",0.249964683732795,0.103447179122684,0.278533723340787
"Tartaric acid","SP",149,"-0.05 (0.13)",147,"-0.4 (0.13)",0.0508751585652317,0.367383417839196,0.0157240502053227
"Taurochenodeoxycholic acid","CG32",223,"0.29 (0.1)",216,"0.21 (0.11)",0.109227093313996,0.0354333857388518,0.280568756907065
"Taurochenodeoxycholic acid","CG48",233,"0.16 (0.1)",214,"0.26 (0.12)",0.179733966802634,0.250184330272391,0.067254665880811
"Taurochenodeoxycholic acid","PB",112,"0.16 (0.17)",92,"0.22 (0.15)",0.639632992733224,0.506989355805571,0.363609937328079
"Taurochenodeoxycholic acid","SP",149,"0.09 (0.12)",147,"0.08 (0.13)",0.849447827755783,0.567842828826176,0.771766522599911
"Taurocholic acid","CG32",223,"0.12 (0.08)",216,"0.19 (0.09)",0.122676419632991,0.116174872605092,0.055907167663512
"Taurocholic acid","CG48",233,"0 (0.07)",214,"0.03 (0.08)",0.329958233019149,0.34645962455151,0.142306390728847
"Taurocholic acid","PB",112,"0.09 (0.09)",92,"0.02 (0.08)",0.592252461716493,0.31071821414773,0.542903721491445
"Taurocholic acid","SP",149,"-0.05 (0.11)",147,"-0.1 (0.11)",0.905790403397903,0.697019499195386,0.993700170577827
"Threonic acid","CG32",223,"0.04 (0.05)",216,"0.12 (0.06)",0.263481466318887,0.434855369379547,0.102424995401176
"Threonic acid","CG48",233,"0.14 (0.05)",214,"0.12 (0.05)",0.107995531789774,0.0407506674231251,0.146429821124382
"Threonic acid","PB",112,"0.05 (0.07)",92,"0 (0.1)",0.633437163712356,0.759547817610806,0.516205373081501
"Threonic acid","SP",149,"0.08 (0.07)",147,"0.03 (0.08)",0.817035552899623,0.525946609977487,0.780607933005067
"12-Hydroxystearic acid","CG32",223,"0.08 (0.06)",216,"0.05 (0.07)",0.334423401750695,0.14556045832115,0.637910525321238
"12-Hydroxystearic acid","CG48",233,"0.07 (0.04)",214,"0.02 (0.06)",0.383779199259764,0.209618529191929,0.915306140552946
"12-Hydroxystearic acid","PB",112,"0.01 (0.1)",92,"-0.11 (0.14)",0.584651454838776,0.753168186010466,0.473251668946689
"12-Hydroxystearic acid","SP",149,"0.02 (0.07)",147,"0.04 (0.06)",0.673256334451574,0.638834031802225,0.373982466568212
